1.00,10.00,50.00
2.00,11.00,50.00
3.00,11.00,50.00
4.00,12.00,50.00
5.00,12.00,50.00
6.00,13.00,50.00
7.00,13.00,51.00
8.00,13.00,51.00
9.00,13.00,51.00
10.00,14.00,51.00
11.00,14.00,52.00
12.00,14.00,52.00
13.00,15.00,52.00
14.00,15.00,52.00
15.00,15.00,53.00
16.00,15.00,53.00
17.00,16.00,53.00
18.00,16.00,54.00
19.00,16.00,54.00
20.00,16.00,54.00
21.00,17.00,55.00
22.00,17.00,55.00
23.00,17.00,55.00
24.00,18.00,56.00
25.00,18.00,56.00
26.00,18.00,57.00
27.00,19.00,57.00
28.00,19.00,57.00
29.00,20.00,58.00
30.00,20.00,58.00
31.00,20.00,58.00
32.00,21.00,59.00
33.00,21.00,59.00
34.00,21.00,59.00
35.00,22.00,59.00
36.00,22.00,60.00
37.00,23.00,60.00
38.00,23.00,60.00
39.00,23.00,60.00
40.00,24.00,60.00
41.00,24.00,60.00
42.00,25.00,61.00
43.00,25.00,61.00
44.00,25.00,61.00
45.00,25.00,61.00
46.00,26.00,61.00
47.00,26.00,61.00
48.00,26.00,61.00
49.00,27.00,61.00
50.00,27.00,61.00
51.00,27.00,61.00
52.00,28.00,61.00
53.00,28.00,61.00
54.00,29.00,61.00
55.00,29.00,61.00
56.00,30.00,61.00
57.00,31.00,61.00
58.00,31.00,61.00
59.00,32.00,61.00
60.00,33.00,61.00
61.00,34.00,61.00
62.00,35.00,61.00
63.00,36.00,61.00
64.00,37.00,60.00
65.00,38.00,60.00
66.00,39.00,60.00
67.00,40.00,60.00
68.00,40.00,60.00
69.00,41.00,60.00
70.00,42.00,60.00
71.00,42.00,60.00
72.00,43.00,60.00
73.00,43.00,59.00
74.00,44.00,59.00
75.00,44.00,59.00
76.00,44.00,59.00
77.00,44.00,59.00
78.00,45.00,59.00
79.00,45.00,59.00
80.00,45.00,59.00
81.00,45.00,59.00
82.00,46.00,59.00
83.00,46.00,59.00
84.00,46.00,59.00
85.00,46.00,59.00
86.00,47.00,59.00
87.00,47.00,59.00
88.00,47.00,59.00
89.00,48.00,59.00
90.00,48.00,59.00
91.00,49.00,59.00
92.00,49.00,59.00
93.00,50.00,59.00
94.00,50.00,59.00
95.00,51.00,59.00
96.00,52.00,59.00
97.00,53.00,59.00
98.00,54.00,59.00
99.00,54.00,59.00
100.00,55.00,59.00
101.00,56.00,59.00
102.00,57.00,59.00
103.00,58.00,59.00
104.00,59.00,59.00
105.00,60.00,59.00
106.00,61.00,60.00
107.00,61.00,60.00
108.00,62.00,60.00
109.00,62.00,60.00
110.00,63.00,60.00
111.00,63.00,60.00
112.00,64.00,60.00
